combinations,questions,avg_rating,quest_comb_id,model
"(31, 14, 7)",If you had a friend that rated them similar in coping what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Wha best could help you to improve in hopeful?,4,94,1
"(31, 14, 8)",If you had a friend that rated them similar in coping what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,95,1
"(31, 15, 6)",If you had a friend that rated them similar in coping what strategies would you recommend?; Is there anyone else we need to talk to about this problem?; What can you do to improve your score in this hopeful?,0,96,1
"(31, 15, 7)",If you had a friend that rated them similar in coping what strategies would you recommend?; Is there anyone else we need to talk to about this problem?; Wha best could help you to improve in hopeful?,0,97,1
"(31, 15, 8)",If you had a friend that rated them similar in coping what strategies would you recommend?; Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,0,98,1
"(31, 16, 6)",If you had a friend that rated them similar in coping what strategies would you recommend?; What is the main threat to your wellbeing in happy?; What can you do to improve your score in this hopeful?,3,99,1
"(31, 16, 7)",If you had a friend that rated them similar in coping what strategies would you recommend?; What is the main threat to your wellbeing in happy?; Wha best could help you to improve in hopeful?,1,100,1
"(31, 16, 8)",If you had a friend that rated them similar in coping what strategies would you recommend?; What is the main threat to your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,101,1
"(31, 17, 6)",If you had a friend that rated them similar in coping what strategies would you recommend?; Why have you scored yourself so low in this happy?; What can you do to improve your score in this hopeful?,3,102,1
"(31, 17, 7)",If you had a friend that rated them similar in coping what strategies would you recommend?; Why have you scored yourself so low in this happy?; Wha best could help you to improve in hopeful?,0,103,1
"(31, 17, 8)",If you had a friend that rated them similar in coping what strategies would you recommend?; Why have you scored yourself so low in this happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,2,104,1
"(31, 18, 6)",If you had a friend that rated them similar in coping what strategies would you recommend?; If you had a friend that rated them similar in happy what strategies would you recommend?; What can you do to improve your score in this hopeful?,3,105,1
"(31, 18, 7)",If you had a friend that rated them similar in coping what strategies would you recommend?; If you had a friend that rated them similar in happy what strategies would you recommend?; Wha best could help you to improve in hopeful?,0,106,1
"(31, 18, 8)",If you had a friend that rated them similar in coping what strategies would you recommend?; If you had a friend that rated them similar in happy what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,0,107,1
"(26, 13, 9)",What ideas have you got on how to improve your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,0,2
"(26, 13, 10)",What ideas have you got on how to improve your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; How would you like me to help you maintain in hopeful?,1,1,2
"(26, 13, 11)",What ideas have you got on how to improve your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; How can you maintain a high wellbeing score in hopeful?,3,2,2
"(26, 13, 12)",What ideas have you got on how to improve your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; Who could best help you to maintain a high wellbeing score?,1,3,2
"(26, 14, 9)",What ideas have you got on how to improve your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,4,2
"(26, 14, 10)",What ideas have you got on how to improve your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; How would you like me to help you maintain in hopeful?,3,5,2
"(26, 14, 11)",What ideas have you got on how to improve your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; How can you maintain a high wellbeing score in hopeful?,3,6,2
"(26, 14, 12)",What ideas have you got on how to improve your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Who could best help you to maintain a high wellbeing score?,3,7,2
"(26, 15, 9)",What ideas have you got on how to improve your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,4,8,2
"(26, 15, 10)",What ideas have you got on how to improve your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; How would you like me to help you maintain in hopeful?,1,9,2
"(26, 15, 11)",What ideas have you got on how to improve your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; How can you maintain a high wellbeing score in hopeful?,4,10,2
"(26, 15, 12)",What ideas have you got on how to improve your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; Who could best help you to maintain a high wellbeing score?,1,11,2
"(26, 16, 9)",What ideas have you got on how to improve your wellbeing in coping?; What is the main threat to your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,2,12,2
"(26, 16, 10)",What ideas have you got on how to improve your wellbeing in coping?; What is the main threat to your wellbeing in happy?; How would you like me to help you maintain in hopeful?,2,13,2
"(26, 16, 11)",What ideas have you got on how to improve your wellbeing in coping?; What is the main threat to your wellbeing in happy?; How can you maintain a high wellbeing score in hopeful?,1,14,2
"(26, 16, 12)",What ideas have you got on how to improve your wellbeing in coping?; What is the main threat to your wellbeing in happy?; Who could best help you to maintain a high wellbeing score?,0,15,2
"(26, 17, 9)",What ideas have you got on how to improve your wellbeing in coping?; Why have you scored yourself so low in this happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,16,2
"(26, 17, 10)",What ideas have you got on how to improve your wellbeing in coping?; Why have you scored yourself so low in this happy?; How would you like me to help you maintain in hopeful?,3,17,2
"(26, 17, 11)",What ideas have you got on how to improve your wellbeing in coping?; Why have you scored yourself so low in this happy?; How can you maintain a high wellbeing score in hopeful?,3,18,2
"(26, 17, 12)",What ideas have you got on how to improve your wellbeing in coping?; Why have you scored yourself so low in this happy?; Who could best help you to maintain a high wellbeing score?,4,19,2
"(26, 18, 9)",What ideas have you got on how to improve your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,20,2
"(26, 18, 10)",What ideas have you got on how to improve your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; How would you like me to help you maintain in hopeful?,1,21,2
"(26, 18, 11)",What ideas have you got on how to improve your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; How can you maintain a high wellbeing score in hopeful?,4,22,2
"(26, 18, 12)",What ideas have you got on how to improve your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; Who could best help you to maintain a high wellbeing score?,4,23,2
"(27, 13, 9)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What ideas have you got on how to improve your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,24,2
"(27, 13, 10)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What ideas have you got on how to improve your wellbeing in happy?; How would you like me to help you maintain in hopeful?,3,25,2
"(27, 13, 11)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What ideas have you got on how to improve your wellbeing in happy?; How can you maintain a high wellbeing score in hopeful?,0,26,2
"(27, 13, 12)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What ideas have you got on how to improve your wellbeing in happy?; Who could best help you to maintain a high wellbeing score?,0,27,2
"(27, 14, 9)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,28,2
"(27, 14, 10)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; How would you like me to help you maintain in hopeful?,2,29,2
"(27, 14, 11)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; How can you maintain a high wellbeing score in hopeful?,0,30,2
"(27, 14, 12)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Who could best help you to maintain a high wellbeing score?,4,31,2
"(27, 15, 9)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,2,32,2
"(27, 15, 10)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Is there anyone else we need to talk to about this problem?; How would you like me to help you maintain in hopeful?,3,33,2
"(27, 15, 11)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Is there anyone else we need to talk to about this problem?; How can you maintain a high wellbeing score in hopeful?,1,34,2
"(27, 15, 12)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Is there anyone else we need to talk to about this problem?; Who could best help you to maintain a high wellbeing score?,1,35,2
"(27, 16, 9)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What is the main threat to your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,0,36,2
"(27, 16, 10)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What is the main threat to your wellbeing in happy?; How would you like me to help you maintain in hopeful?,3,37,2
"(27, 16, 11)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What is the main threat to your wellbeing in happy?; How can you maintain a high wellbeing score in hopeful?,3,38,2
"(27, 16, 12)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What is the main threat to your wellbeing in happy?; Who could best help you to maintain a high wellbeing score?,1,39,2
"(27, 17, 9)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Why have you scored yourself so low in this happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,40,2
"(27, 17, 10)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Why have you scored yourself so low in this happy?; How would you like me to help you maintain in hopeful?,0,41,2
"(27, 17, 11)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Why have you scored yourself so low in this happy?; How can you maintain a high wellbeing score in hopeful?,1,42,2
"(27, 17, 12)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Why have you scored yourself so low in this happy?; Who could best help you to maintain a high wellbeing score?,0,43,2
"(27, 18, 9)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; If you had a friend that rated them similar in happy what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,44,2
"(27, 18, 10)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; If you had a friend that rated them similar in happy what strategies would you recommend?; How would you like me to help you maintain in hopeful?,1,45,2
"(27, 18, 11)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; If you had a friend that rated them similar in happy what strategies would you recommend?; How can you maintain a high wellbeing score in hopeful?,2,46,2
"(27, 18, 12)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; If you had a friend that rated them similar in happy what strategies would you recommend?; Who could best help you to maintain a high wellbeing score?,2,47,2
"(28, 13, 9)",Is there anyone else we need to talk to about this problem?; What ideas have you got on how to improve your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,2,48,2
"(28, 13, 10)",Is there anyone else we need to talk to about this problem?; What ideas have you got on how to improve your wellbeing in happy?; How would you like me to help you maintain in hopeful?,1,49,2
"(28, 13, 11)",Is there anyone else we need to talk to about this problem?; What ideas have you got on how to improve your wellbeing in happy?; How can you maintain a high wellbeing score in hopeful?,2,50,2
"(28, 13, 12)",Is there anyone else we need to talk to about this problem?; What ideas have you got on how to improve your wellbeing in happy?; Who could best help you to maintain a high wellbeing score?,4,51,2
"(28, 14, 9)",Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,2,52,2
"(28, 14, 10)",Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; How would you like me to help you maintain in hopeful?,0,53,2
"(28, 14, 11)",Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; How can you maintain a high wellbeing score in hopeful?,0,54,2
"(28, 14, 12)",Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Who could best help you to maintain a high wellbeing score?,0,55,2
"(28, 15, 9)",Is there anyone else we need to talk to about this problem?; Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,0,56,2
"(28, 15, 10)",Is there anyone else we need to talk to about this problem?; Is there anyone else we need to talk to about this problem?; How would you like me to help you maintain in hopeful?,0,57,2
"(28, 15, 11)",Is there anyone else we need to talk to about this problem?; Is there anyone else we need to talk to about this problem?; How can you maintain a high wellbeing score in hopeful?,0,58,2
"(28, 15, 12)",Is there anyone else we need to talk to about this problem?; Is there anyone else we need to talk to about this problem?; Who could best help you to maintain a high wellbeing score?,2,59,2
"(28, 16, 9)",Is there anyone else we need to talk to about this problem?; What is the main threat to your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,4,60,2
"(28, 16, 10)",Is there anyone else we need to talk to about this problem?; What is the main threat to your wellbeing in happy?; How would you like me to help you maintain in hopeful?,4,61,2
"(28, 16, 11)",Is there anyone else we need to talk to about this problem?; What is the main threat to your wellbeing in happy?; How can you maintain a high wellbeing score in hopeful?,3,62,2
"(28, 16, 12)",Is there anyone else we need to talk to about this problem?; What is the main threat to your wellbeing in happy?; Who could best help you to maintain a high wellbeing score?,3,63,2
"(28, 17, 9)",Is there anyone else we need to talk to about this problem?; Why have you scored yourself so low in this happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,64,2
"(28, 17, 10)",Is there anyone else we need to talk to about this problem?; Why have you scored yourself so low in this happy?; How would you like me to help you maintain in hopeful?,4,65,2
"(28, 17, 11)",Is there anyone else we need to talk to about this problem?; Why have you scored yourself so low in this happy?; How can you maintain a high wellbeing score in hopeful?,3,66,2
"(28, 17, 12)",Is there anyone else we need to talk to about this problem?; Why have you scored yourself so low in this happy?; Who could best help you to maintain a high wellbeing score?,3,67,2
"(28, 18, 9)",Is there anyone else we need to talk to about this problem?; If you had a friend that rated them similar in happy what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,68,2
"(28, 18, 10)",Is there anyone else we need to talk to about this problem?; If you had a friend that rated them similar in happy what strategies would you recommend?; How would you like me to help you maintain in hopeful?,4,69,2
"(28, 18, 11)",Is there anyone else we need to talk to about this problem?; If you had a friend that rated them similar in happy what strategies would you recommend?; How can you maintain a high wellbeing score in hopeful?,3,70,2
"(28, 18, 12)",Is there anyone else we need to talk to about this problem?; If you had a friend that rated them similar in happy what strategies would you recommend?; Who could best help you to maintain a high wellbeing score?,4,71,2
"(29, 13, 9)",What is the main threat to your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,2,72,2
"(29, 13, 10)",What is the main threat to your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; How would you like me to help you maintain in hopeful?,2,73,2
"(29, 13, 11)",What is the main threat to your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; How can you maintain a high wellbeing score in hopeful?,1,74,2
"(29, 13, 12)",What is the main threat to your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; Who could best help you to maintain a high wellbeing score?,4,75,2
"(29, 14, 9)",What is the main threat to your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,2,76,2
"(29, 14, 10)",What is the main threat to your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; How would you like me to help you maintain in hopeful?,2,77,2
"(29, 14, 11)",What is the main threat to your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; How can you maintain a high wellbeing score in hopeful?,1,78,2
"(29, 14, 12)",What is the main threat to your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Who could best help you to maintain a high wellbeing score?,1,79,2
"(29, 15, 9)",What is the main threat to your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,80,2
"(29, 15, 10)",What is the main threat to your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; How would you like me to help you maintain in hopeful?,2,81,2
"(29, 15, 11)",What is the main threat to your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; How can you maintain a high wellbeing score in hopeful?,2,82,2
"(29, 15, 12)",What is the main threat to your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; Who could best help you to maintain a high wellbeing score?,3,83,2
"(29, 16, 9)",What is the main threat to your wellbeing in coping?; What is the main threat to your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,4,84,2
"(29, 16, 10)",What is the main threat to your wellbeing in coping?; What is the main threat to your wellbeing in happy?; How would you like me to help you maintain in hopeful?,1,85,2
"(29, 16, 11)",What is the main threat to your wellbeing in coping?; What is the main threat to your wellbeing in happy?; How can you maintain a high wellbeing score in hopeful?,3,86,2
"(29, 16, 12)",What is the main threat to your wellbeing in coping?; What is the main threat to your wellbeing in happy?; Who could best help you to maintain a high wellbeing score?,4,87,2
"(29, 17, 9)",What is the main threat to your wellbeing in coping?; Why have you scored yourself so low in this happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,2,88,2
"(29, 17, 10)",What is the main threat to your wellbeing in coping?; Why have you scored yourself so low in this happy?; How would you like me to help you maintain in hopeful?,1,89,2
"(29, 17, 11)",What is the main threat to your wellbeing in coping?; Why have you scored yourself so low in this happy?; How can you maintain a high wellbeing score in hopeful?,1,90,2
"(29, 17, 12)",What is the main threat to your wellbeing in coping?; Why have you scored yourself so low in this happy?; Who could best help you to maintain a high wellbeing score?,1,91,2
"(29, 18, 9)",What is the main threat to your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,92,2
"(29, 18, 10)",What is the main threat to your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; How would you like me to help you maintain in hopeful?,1,93,2
"(29, 18, 11)",What is the main threat to your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; How can you maintain a high wellbeing score in hopeful?,4,94,2
"(29, 18, 12)",What is the main threat to your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; Who could best help you to maintain a high wellbeing score?,1,95,2
"(30, 13, 9)",Why have you scored yourself so low in this coping?; What ideas have you got on how to improve your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,0,96,2
"(30, 13, 10)",Why have you scored yourself so low in this coping?; What ideas have you got on how to improve your wellbeing in happy?; How would you like me to help you maintain in hopeful?,0,97,2
"(30, 13, 11)",Why have you scored yourself so low in this coping?; What ideas have you got on how to improve your wellbeing in happy?; How can you maintain a high wellbeing score in hopeful?,0,98,2
"(30, 13, 12)",Why have you scored yourself so low in this coping?; What ideas have you got on how to improve your wellbeing in happy?; Who could best help you to maintain a high wellbeing score?,3,99,2
"(30, 14, 9)",Why have you scored yourself so low in this coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,100,2
"(30, 14, 10)",Why have you scored yourself so low in this coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; How would you like me to help you maintain in hopeful?,1,101,2
"(30, 14, 11)",Why have you scored yourself so low in this coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; How can you maintain a high wellbeing score in hopeful?,3,102,2
"(30, 14, 12)",Why have you scored yourself so low in this coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Who could best help you to maintain a high wellbeing score?,0,103,2
"(30, 15, 9)",Why have you scored yourself so low in this coping?; Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,2,104,2
"(30, 15, 10)",Why have you scored yourself so low in this coping?; Is there anyone else we need to talk to about this problem?; How would you like me to help you maintain in hopeful?,3,105,2
"(30, 15, 11)",Why have you scored yourself so low in this coping?; Is there anyone else we need to talk to about this problem?; How can you maintain a high wellbeing score in hopeful?,0,106,2
"(30, 15, 12)",Why have you scored yourself so low in this coping?; Is there anyone else we need to talk to about this problem?; Who could best help you to maintain a high wellbeing score?,0,107,2
"(30, 16, 9)",Why have you scored yourself so low in this coping?; What is the main threat to your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,108,2
"(30, 16, 10)",Why have you scored yourself so low in this coping?; What is the main threat to your wellbeing in happy?; How would you like me to help you maintain in hopeful?,1,109,2
"(30, 16, 11)",Why have you scored yourself so low in this coping?; What is the main threat to your wellbeing in happy?; How can you maintain a high wellbeing score in hopeful?,4,110,2
"(30, 16, 12)",Why have you scored yourself so low in this coping?; What is the main threat to your wellbeing in happy?; Who could best help you to maintain a high wellbeing score?,2,111,2
"(30, 17, 9)",Why have you scored yourself so low in this coping?; Why have you scored yourself so low in this happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,112,2
"(30, 17, 10)",Why have you scored yourself so low in this coping?; Why have you scored yourself so low in this happy?; How would you like me to help you maintain in hopeful?,0,113,2
"(30, 17, 11)",Why have you scored yourself so low in this coping?; Why have you scored yourself so low in this happy?; How can you maintain a high wellbeing score in hopeful?,4,114,2
"(30, 17, 12)",Why have you scored yourself so low in this coping?; Why have you scored yourself so low in this happy?; Who could best help you to maintain a high wellbeing score?,1,115,2
"(30, 18, 9)",Why have you scored yourself so low in this coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,116,2
"(30, 18, 10)",Why have you scored yourself so low in this coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; How would you like me to help you maintain in hopeful?,2,117,2
"(30, 18, 11)",Why have you scored yourself so low in this coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; How can you maintain a high wellbeing score in hopeful?,2,118,2
"(30, 18, 12)",Why have you scored yourself so low in this coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; Who could best help you to maintain a high wellbeing score?,2,119,2
"(31, 13, 9)",If you had a friend that rated them similar in coping what strategies would you recommend?; What ideas have you got on how to improve your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,2,120,2
"(31, 13, 10)",If you had a friend that rated them similar in coping what strategies would you recommend?; What ideas have you got on how to improve your wellbeing in happy?; How would you like me to help you maintain in hopeful?,1,121,2
"(31, 13, 11)",If you had a friend that rated them similar in coping what strategies would you recommend?; What ideas have you got on how to improve your wellbeing in happy?; How can you maintain a high wellbeing score in hopeful?,0,122,2
"(31, 13, 12)",If you had a friend that rated them similar in coping what strategies would you recommend?; What ideas have you got on how to improve your wellbeing in happy?; Who could best help you to maintain a high wellbeing score?,1,123,2
"(31, 14, 9)",If you had a friend that rated them similar in coping what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,4,124,2
"(31, 14, 10)",If you had a friend that rated them similar in coping what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; How would you like me to help you maintain in hopeful?,1,125,2
"(31, 14, 11)",If you had a friend that rated them similar in coping what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; How can you maintain a high wellbeing score in hopeful?,3,126,2
"(31, 14, 12)",If you had a friend that rated them similar in coping what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Who could best help you to maintain a high wellbeing score?,1,127,2
"(31, 15, 9)",If you had a friend that rated them similar in coping what strategies would you recommend?; Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,4,128,2
"(31, 15, 10)",If you had a friend that rated them similar in coping what strategies would you recommend?; Is there anyone else we need to talk to about this problem?; How would you like me to help you maintain in hopeful?,2,129,2
"(31, 15, 11)",If you had a friend that rated them similar in coping what strategies would you recommend?; Is there anyone else we need to talk to about this problem?; How can you maintain a high wellbeing score in hopeful?,2,130,2
"(31, 15, 12)",If you had a friend that rated them similar in coping what strategies would you recommend?; Is there anyone else we need to talk to about this problem?; Who could best help you to maintain a high wellbeing score?,1,131,2
"(31, 16, 9)",If you had a friend that rated them similar in coping what strategies would you recommend?; What is the main threat to your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,132,2
"(31, 16, 10)",If you had a friend that rated them similar in coping what strategies would you recommend?; What is the main threat to your wellbeing in happy?; How would you like me to help you maintain in hopeful?,2,133,2
"(31, 16, 11)",If you had a friend that rated them similar in coping what strategies would you recommend?; What is the main threat to your wellbeing in happy?; How can you maintain a high wellbeing score in hopeful?,3,134,2
"(31, 16, 12)",If you had a friend that rated them similar in coping what strategies would you recommend?; What is the main threat to your wellbeing in happy?; Who could best help you to maintain a high wellbeing score?,1,135,2
"(31, 17, 9)",If you had a friend that rated them similar in coping what strategies would you recommend?; Why have you scored yourself so low in this happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,136,2
"(31, 17, 10)",If you had a friend that rated them similar in coping what strategies would you recommend?; Why have you scored yourself so low in this happy?; How would you like me to help you maintain in hopeful?,4,137,2
"(31, 17, 11)",If you had a friend that rated them similar in coping what strategies would you recommend?; Why have you scored yourself so low in this happy?; How can you maintain a high wellbeing score in hopeful?,2,138,2
"(31, 17, 12)",If you had a friend that rated them similar in coping what strategies would you recommend?; Why have you scored yourself so low in this happy?; Who could best help you to maintain a high wellbeing score?,0,139,2
